Date,equity,bond,gold,cash
2007-05-30,2377.090087890625,50.702213287353516,64.72000122070312,70.79454803466797
2007-05-31,2377.75,50.683597564697266,65.54000091552734,70.79454803466797
2007-06-01,2386.6298828125,50.46525192260742,66.44000244140625,70.81006622314453
2007-06-04,2391.1298828125,50.54610061645508,66.54000091552734,70.82547760009766
2007-06-05,2378.43994140625,50.38434982299805,66.37000274658203,70.82547760009766
2007-06-06,2357.949951171875,50.40925979614258,66.41000366210938,70.85637664794922
2007-06-07,2316.6298828125,49.90536880493164,65.26000213623047,70.8409423828125
2007-06-08,2342.97998046875,49.99864196777344,64.22000122070312,70.85637664794922
2007-06-11,2345.27001953125,49.86804962158203,64.69999694824219,70.8873291015625
2007-06-12,2320.219970703125,49.513423919677734,64.0999984741211,70.82547760009766
2007-06-13,2356.02001953125,49.675174713134766,64.52999877929688,70.8873291015625
2007-06-14,2367.52001953125,49.6876106262207,64.5999984741211,70.9182357788086
2007-06-15,2382.969970703125,49.90536880493164,64.8499984741211,70.98001861572266
2007-06-18,2380.090087890625,49.880455017089844,64.94999694824219,70.99553680419922
2007-06-19,2384.260009765625,50.123104095458984,65.4800033569336,70.99553680419922
2007-06-20,2351.8701171875,49.961341857910156,64.70999908447266,71.01097106933594
2007-06-21,2366.919921875,49.89909744262695,64.55999755859375,71.01097106933594
2007-06-22,2336.409912109375,50.04841995239258,64.77999877929688,71.07279968261719
2007-06-25,2328.909912109375,50.210174560546875,64.43000030517578,71.04190063476562
2007-06-26,2321.4599609375,50.222591400146484,63.619998931884766,71.05732727050781
2007-06-27,2342.840087890625,50.21640396118164,63.66999816894531,71.04190063476562
2007-06-28,2341.89990234375,50.18524932861328,64.26000213623047,71.07279968261719
2007-06-29,2338.25,50.44655990600586,64.2699966430664,71.10371398925781
2007-07-02,2363.280029296875,50.52339553833008,65.0199966430664,71.1239242553711
2007-07-03,2372.219970703125,50.373512268066406,64.73999786376953,71.1239242553711
2007-07-05,2373.070068359375,50.092498779296875,64.41999816894531,71.1239242553711
2007-07-06,2381.590087890625,49.97384262084961,64.95999908447266,71.15493774414062
2007-07-09,2383.800048828125,50.15496826171875,65.37999725341797,71.17045593261719
2007-07-10,2349.97998046875,50.498409271240234,65.61000061035156,71.18602752685547
2007-07-11,2363.719970703125,50.32352828979492,65.44000244140625,71.18602752685547
2007-07-12,2408.7900390625,50.179901123046875,66.0199966430664,71.2015380859375
2007-07-13,2416.280029296875,50.29231262207031,66.02999877929688,71.21708679199219
2007-07-16,2411.64990234375,50.49213409423828,65.81999969482422,71.23258972167969
2007-07-17,2411.409912109375,50.385982513427734,65.75,71.26361083984375
2007-07-18,2406.68994140625,50.56710433959961,66.62000274658203,71.24809265136719
2007-07-19,2417.5,50.560882568359375,67.01000213623047,71.26361083984375
2007-07-20,2387.9599609375,50.810665130615234,67.58000183105469,71.29468536376953
2007-07-23,2399.639892578125,50.791934967041016,67.47000122070312,71.29468536376953
2007-07-24,2352.1201171875,50.92932891845703,67.47000122070312,71.29468536376953
2007-07-25,2363.1201171875,50.998008728027344,66.9000015258789,71.3102035522461
2007-07-26,2307.97998046875,51.40399169921875,65.6500015258789,71.32576751708984
2007-07-27,2271.409912109375,51.50389099121094,65.41000366210938,71.35682678222656
2007-07-30,2294.75,51.37273025512695,65.7699966430664,71.29468536376953
2007-07-31,2265.75,51.5850715637207,65.79000091552734,71.3878402709961
2007-08-01,2282.300048828125,51.44213104248047,65.93000030517578,71.36443328857422
2007-08-02,2292.7900390625,51.479759216308594,65.88999938964844,71.38008880615234
