,strategy
2007-07-31,0.003920874673964561
2007-08-31,0.004183302795357327
2007-09-30,0.0018235719275774749
2007-10-31,0.003860674877373785
2007-11-30,0.0038797415282255028
2007-12-31,0.002281836127702655
2008-01-31,0.01039046799662097
2008-02-29,0.009076125563587379
2008-03-31,0.005362810770080773
2008-04-30,-0.026081191113157987
2008-05-31,-0.015193803478304348
2008-06-30,0.01260132249087788
2008-07-31,0.004480536348762987
2008-08-31,0.0032452210505800804
2008-09-30,-0.00017123704881478753
2008-10-31,-0.013844372190105314
2008-11-30,0.038268223634139814
2008-12-31,0.05128603599190054
2009-01-31,-0.034311878322133005
2009-02-28,-0.00531806179572885
2009-03-31,0.02716526869253326
2009-04-30,-0.02802958252768061
2009-05-31,-0.012693986701499285
2009-06-30,-0.006995792042771817
2009-07-31,0.03084144059078964
2009-08-31,0.021895137277381203
2009-09-30,0.03227751989406272
2009-10-31,-0.009538139968864977
2009-11-30,0.05738923852650692
2009-12-31,-0.001068545051093104
2010-01-31,-0.026528979148603193
2010-02-28,0.025298983891179905
2010-03-31,0.03962058125218159
2010-04-30,0.01846806080807138
2010-05-31,-0.04705757207284146
2010-06-30,-0.028242193375449105
2010-07-31,0.01694815515927338
2010-08-31,0.007157248658982449
2010-09-30,0.014910205659201125
2010-10-31,0.016736835239399978
2010-11-30,0.00014303613068117829
2010-12-31,0.042307347522280776
2011-01-31,0.010114371634769888
2011-02-28,0.02972610622864135
2011-03-31,0.0017200431515889143
2011-04-30,0.030236987463472458
2011-05-31,-0.008069263904323163
2011-06-30,-0.014840093957798872
2011-07-31,-0.0027007977768289844
2011-08-31,-0.004846608592833128
2011-09-30,-0.012857713715772443
2011-10-31,-0.005967196779432998
2011-11-30,0.005773813406277231
2011-12-31,0.007036140566269398
2012-01-31,0.01656893945411049
2012-02-29,0.012131868992842585
2012-03-31,0.01910160423695753
2012-04-30,-0.0006661822944877789
2012-05-31,-0.04251794946939689
2012-06-30,0.03206846690956651
2012-07-31,0.013868330578543402
2012-08-31,0.017739019674204996
2012-09-30,0.02128021518289384
2012-10-31,-0.016731418366833235
2012-11-30,0.005665726827157718
2012-12-31,0.0025795277930241974
2013-01-31,0.035424405962201526
2013-02-28,0.01044211377701353
2013-03-31,0.02972944400951589
2013-04-30,0.01579358096740961
2013-05-31,0.012426862030393225
2013-06-30,-0.010881092706763892
2013-07-31,0.04067418680339135
2013-08-31,-0.023204057352249677
2013-09-30,0.025007694500060535
2013-10-31,0.0366952502474288
2013-11-30,0.024300575931218288
2013-12-31,0.02021910188370724
2014-01-31,-0.02769587089895581
2014-02-28,0.03690587297862003
2014-03-31,0.003210228441305118
2014-04-30,0.0070518750886350515
2014-05-31,0.020565651636695843
2014-06-30,0.01602644106482585
2014-07-31,-0.01306415569894769
2014-08-31,0.03330192504918608
2014-09-30,-0.016546181019229292
2014-10-31,0.02162039393899427
2014-11-30,0.024037462871489935
2014-12-31,-0.0018014020018102864
2015-01-31,-0.015456743470319459
2015-02-28,0.033178720703322576
2015-03-31,-0.011025293843495708
2015-04-30,0.00636460780461821
2015-05-31,0.009409231562363533
2015-06-30,-0.01879413606345452
2015-07-31,0.018210057537322268
2015-08-31,-0.04821361313280429
2015-09-30,0.008550313604315244
2015-10-31,-0.005535468531461237
2015-11-30,-0.001227380347644047
2015-12-31,-0.013507888867713149
2016-01-31,-0.02653182104548857
2016-02-29,0.015849658427691166
2016-03-31,-0.0016079442828155176
2016-04-30,0.004736186660623479
2016-05-31,0.0037510233404038865
2016-06-30,0.016839153330505528
